city,latitude,longitude,time,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,daylight_duration,sunshine_duration,uv_index_max,uv_index_clear_sky_max,precipitation_sum,rain_sum,showers_sum,snowfall_sum,precipitation_hours,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
Madrid,40.4168,-3.7038,2026-06-12,2,33.2,18.6,33.8,15.9,2026-06-12T06:43,2026-06-12T21:45,54079.41,51260.64,8.1,8.1,0.0,0.0,0.0,0.0,0.0,0,12.2,32.4,74,30.63,7.49
Madrid,40.4168,-3.7038,2026-06-13,3,33.4,19.1,32.1,18.1,2026-06-13T06:43,2026-06-13T21:45,54109.3,51938.77,8.05,8.05,0.0,0.0,0.0,0.0,0.0,3,9.3,28.4,118,30.38,7.13
Madrid,40.4168,-3.7038,2026-06-14,3,32.8,20.6,33.0,19.7,2026-06-14T06:43,2026-06-14T21:46,54135.67,45527.41,8.05,8.05,0.3,0.0,0.3,0.0,3.0,40,12.4,43.6,137,27.15,6.6
Madrid,40.4168,-3.7038,2026-06-15,3,30.8,19.2,32.2,19.6,2026-06-15T06:43,2026-06-15T21:46,54158.51,47869.55,8.1,8.1,0.3,0.0,0.3,0.0,3.0,48,10.5,34.2,12,26.15,5.61
Madrid,40.4168,-3.7038,2026-06-16,2,33.6,20.2,34.7,20.8,2026-06-16T06:43,2026-06-16T21:46,54177.83,52934.87,8.15,8.15,0.0,0.0,0.0,0.0,0.0,28,6.6,22.3,54,28.4,6.14
Madrid,40.4168,-3.7038,2026-06-17,2,35.3,23.2,34.8,22.5,2026-06-17T06:44,2026-06-17T21:47,54193.59,52967.62,8.0,8.0,0.0,0.0,0.0,0.0,0.0,2,11.3,31.3,115,30.11,7.66
Madrid,40.4168,-3.7038,2026-06-18,80,28.6,20.6,26.2,20.2,2026-06-18T06:44,2026-06-18T21:47,54205.81,34615.0,7.5,7.95,1.5,0.0,1.5,0.0,3.0,5,16.3,40.3,123,20.54,5.9
Barcelona,41.3874,2.1686,2026-06-12,1,26.8,17.6,29.9,18.3,2026-06-12T06:17,2026-06-12T21:25,54454.59,50689.97,7.8,7.8,0.0,0.0,0.0,0.0,0.0,0,14.3,37.1,206,29.38,5.58
Barcelona,41.3874,2.1686,2026-06-13,1,28.6,20.2,29.8,20.4,2026-06-13T06:17,2026-06-13T21:25,54485.66,50689.15,7.8,7.8,0.0,0.0,0.0,0.0,0.0,0,14.4,36.7,191,29.71,6.15
Barcelona,41.3874,2.1686,2026-06-14,3,29.9,20.6,30.9,20.4,2026-06-14T06:17,2026-06-14T21:26,54513.07,44500.92,7.75,7.8,0.0,0.0,0.0,0.0,0.0,0,14.4,36.0,230,23.43,5.25
Barcelona,41.3874,2.1686,2026-06-15,3,27.4,20.0,29.3,19.8,2026-06-15T06:17,2026-06-15T21:26,54536.81,50400.0,7.55,7.85,0.0,0.0,0.0,0.0,0.0,3,12.7,32.4,142,27.53,5.64
Barcelona,41.3874,2.1686,2026-06-16,3,26.9,21.3,27.8,21.5,2026-06-16T06:17,2026-06-16T21:26,54556.89,52871.13,7.85,7.85,0.0,0.0,0.0,0.0,0.0,0,11.0,31.3,109,27.86,5.66
Barcelona,41.3874,2.1686,2026-06-17,1,28.2,21.2,30.6,21.0,2026-06-17T06:17,2026-06-17T21:27,54573.28,53390.91,7.75,7.75,0.0,0.0,0.0,0.0,0.0,0,10.9,30.6,113,28.69,5.77
Barcelona,41.3874,2.1686,2026-06-18,0,29.3,19.4,32.4,21.0,2026-06-18T06:17,2026-06-18T21:27,54585.98,53215.87,7.75,7.75,0.0,0.0,0.0,0.0,0.0,2,10.2,28.1,127,28.91,5.68
Valencia,39.4699,-0.3763,2026-06-12,2,27.5,18.8,29.2,20.5,2026-06-12T06:33,2026-06-12T21:28,53716.75,50400.0,7.9,7.9,0.0,0.0,0.0,0.0,0.0,0,14.8,35.6,123,29.7,5.82
Valencia,39.4699,-0.3763,2026-06-13,3,30.9,18.3,31.2,17.6,2026-06-13T06:33,2026-06-13T21:29,53745.52,49219.21,7.3,7.95,0.0,0.0,0.0,0.0,0.0,0,11.8,29.9,130,29.44,6.31
Valencia,39.4699,-0.3763,2026-06-14,3,30.5,21.2,31.3,21.1,2026-06-14T06:33,2026-06-14T21:29,53770.89,48058.5,6.95,7.9,0.0,0.0,0.0,0.0,0.0,5,16.5,40.0,128,27.21,6.02
Valencia,39.4699,-0.3763,2026-06-15,3,30.1,21.4,32.9,22.7,2026-06-15T06:33,2026-06-15T21:30,53792.87,44880.04,7.95,7.95,0.0,0.0,0.0,0.0,0.0,3,12.3,30.6,88,26.87,5.52
Valencia,39.4699,-0.3763,2026-06-16,2,29.5,21.4,31.8,24.3,2026-06-16T06:33,2026-06-16T21:30,53811.45,51385.99,7.95,7.95,0.0,0.0,0.0,0.0,0.0,1,13.6,34.9,92,28.6,5.66
Valencia,39.4699,-0.3763,2026-06-17,1,31.9,20.5,33.5,22.8,2026-06-17T06:33,2026-06-17T21:30,53826.62,52353.46,7.9,7.9,0.0,0.0,0.0,0.0,0.0,3,14.8,36.4,107,29.33,6.3
Valencia,39.4699,-0.3763,2026-06-18,3,29.5,18.7,30.6,19.5,2026-06-18T06:33,2026-06-18T21:31,53838.37,51374.19,7.85,7.85,0.0,0.0,0.0,0.0,0.0,3,14.9,34.9,76,27.05,5.62
Sevilla,37.3891,-5.9845,2026-06-12,3,36.8,22.0,35.9,22.1,2026-06-12T07:02,2026-06-12T21:44,52936.64,48572.61,7.0,8.1,0.0,0.0,0.0,0.0,0.0,0,17.1,41.0,99,28.93,7.88
Sevilla,37.3891,-5.9845,2026-06-13,3,34.6,20.9,34.8,21.0,2026-06-13T07:02,2026-06-13T21:45,52963.02,50190.08,7.75,8.1,0.0,0.0,0.0,0.0,0.0,0,14.0,33.8,253,28.92,7.29
Sevilla,37.3891,-5.9845,2026-06-14,3,29.0,20.1,31.1,22.3,2026-06-14T07:02,2026-06-14T21:45,52986.28,51002.54,8.15,8.15,0.0,0.0,0.0,0.0,0.0,0,16.2,38.2,239,28.83,6.07
Sevilla,37.3891,-5.9845,2026-06-15,3,31.4,19.0,34.6,20.1,2026-06-15T07:02,2026-06-15T21:46,53006.43,45120.1,8.1,8.1,0.0,0.0,0.0,0.0,0.0,0,15.5,36.0,223,26.97,5.82
Sevilla,37.3891,-5.9845,2026-06-16,1,36.1,19.0,39.2,21.6,2026-06-16T07:02,2026-06-16T21:46,53023.47,52450.06,8.15,8.15,0.0,0.0,0.0,0.0,0.0,3,14.6,34.6,222,29.65,6.62
Sevilla,37.3891,-5.9845,2026-06-17,3,37.8,22.6,40.5,24.6,2026-06-17T07:02,2026-06-17T21:46,53037.37,52463.48,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1,21.9,45.7,244,29.54,7.19
Sevilla,37.3891,-5.9845,2026-06-18,3,34.5,21.4,35.5,23.5,2026-06-18T07:03,2026-06-18T21:47,53048.14,52473.79,6.9,8.0,0.0,0.0,0.0,0.0,0.0,3,16.7,34.9,242,29.11,7.15
Bilbao,43.263,-2.935,2026-06-12,0,25.9,14.4,25.0,13.9,2026-06-12T06:31,2026-06-12T21:52,55250.83,50400.0,7.7,7.7,0.0,0.0,0.0,0.0,0.0,0,12.6,27.4,79,29.7,5.39
Bilbao,43.263,-2.935,2026-06-13,3,36.9,16.7,35.8,16.5,2026-06-13T06:31,2026-06-13T21:52,55284.44,50400.0,7.4,7.65,0.0,0.0,0.0,0.0,0.0,0,15.9,35.6,110,29.68,6.83
Bilbao,43.263,-2.935,2026-06-14,3,35.1,21.8,36.5,22.9,2026-06-14T06:30,2026-06-14T21:52,55314.11,49325.99,7.15,7.65,0.0,0.0,0.0,0.0,0.0,3,13.4,27.4,302,26.17,5.9
Bilbao,43.263,-2.935,2026-06-15,2,27.5,19.8,30.0,21.1,2026-06-15T06:30,2026-06-15T21:53,55339.81,49751.47,7.6,7.65,0.0,0.0,0.0,0.0,0.0,3,18.3,40.7,328,29.42,5.72
Bilbao,43.263,-2.935,2026-06-16,3,25.2,18.0,27.3,18.7,2026-06-16T06:31,2026-06-16T21:53,55361.53,42333.71,7.75,7.75,0.0,0.0,0.0,0.0,0.0,0,11.4,38.2,344,25.25,4.58
Bilbao,43.263,-2.935,2026-06-17,2,27.5,16.4,31.6,18.1,2026-06-17T06:31,2026-06-17T21:54,55379.27,54113.53,7.65,7.65,0.0,0.0,0.0,0.0,0.0,0,11.2,33.5,358,28.02,5.19
Bilbao,43.263,-2.935,2026-06-18,51,36.6,17.8,38.3,20.3,2026-06-18T06:31,2026-06-18T21:54,55393.02,50787.86,7.6,7.6,0.9,0.9,0.0,0.0,9.0,3,6.4,40.7,189,26.29,5.54
